ppt_id,dev_id,month,stream,perfect,nan,unclear,total_rows,total_dupes
mgh012,2KNY3111NL,20191001_20191031,eda,0,0,0,2602743,0
mgh012,2KNY3111NL,20191001_20191031,temp,0,0,0,650700,0
mgh018,2KPY31116R,20191001_20191031,acc,0,0,0,5504040,0
mgh018,2KPY31116R,20191001_20191031,eda,0,0,0,672282,0
mgh018,2KPY31116R,20191001_20191031,temp,0,0,0,168075,0
mgh007,2KPY31119V,20191101_20191130,acc,0,0,0,194676,0
mgh007,2KPY31119V,20191101_20191130,eda,0,0,0,24417,0
mgh007,2KPY31119V,20191101_20191130,temp,0,0,0,6104,0
mgh018,2KPY31116R,20191101_20191130,acc,0,0,0,7925070,0
mgh018,2KPY31116R,20191101_20191130,eda,0,0,0,974922,0
mgh018,2KPY31116R,20191101_20191130,temp,0,0,0,243740,0
mgh021,2KPY31117X,20190601_20190630,acc,0,0,0,3799140,0
mgh021,2KPY31117X,20190601_20190630,eda,0,0,0,468195,0
mgh021,2KPY31117X,20190601_20190630,temp,0,0,0,117055,0
mgh022,2KNY3111MM,20190601_20190630,acc,0,0,0,6153200,0
mgh022,2KNY3111MM,20190601_20190630,eda,0,0,0,767455,0
mgh022,2KNY3111MM,20190601_20190630,temp,0,0,0,191870,0
mgh023,2KPY31117C,20190601_20190630,acc,0,0,0,22917360,0
mgh023,2KPY31117C,20190601_20190630,eda,0,0,0,2814253,0
mgh023,2KPY31117C,20190601_20190630,temp,0,0,0,703585,0
mgh024,2KPY31117W,20190601_20190630,acc,0,0,0,34134110,0
mgh024,2KPY31117W,20190601_20190630,eda,0,0,0,4200794,0
mgh024,2KPY31117W,20190601_20190630,temp,0,0,0,1050220,0
mgh025,2KPY31119K,20190601_20190630,acc,0,0,0,27145630,0
mgh025,2KPY31119K,20190601_20190630,eda,0,0,0,3401710,0
mgh025,2KPY31119K,20190601_20190630,temp,0,0,0,850450,0
mgh026,2KPY31116L,20190601_20190630,acc,0,0,0,43998986,0
mgh026,2KPY31116L,20190601_20190630,eda,0,0,0,5369695,0
mgh026,2KPY31116L,20190601_20190630,temp,0,0,0,1342457,0
mgh027,2KPY311188,20190601_20190630,acc,0,0,0,16612934,0
mgh027,2KPY311188,20190601_20190630,eda,0,0,0,2043924,0
mgh027,2KPY311188,20190601_20190630,temp,0,0,0,510991,0
mgh028,2KPY311174,20190601_20190630,acc,0,0,0,28012437,0
mgh028,2KPY311174,20190601_20190630,eda,0,0,0,3422513,0
mgh028,2KPY311174,20190601_20190630,temp,0,0,0,855649,0
mgh029,2KPY31117Y,20190601_20190630,acc,0,0,0,5210130,0
mgh029,2KPY31117Y,20190601_20190630,eda,0,0,0,650221,0
mgh029,2KPY31117Y,20190601_20190630,temp,0,0,0,162560,0
mgh030,2KNY3111L9,20190601_20190630,acc,0,0,0,3047660,0
mgh030,2KNY3111L9,20190601_20190630,eda,0,0,0,377923,0
mgh030,2KNY3111L9,20190601_20190630,temp,0,0,0,94475,0
mgh032,2KPY31117T,20190601_20190630,acc,0,0,0,9264863,0
mgh032,2KPY31117T,20190601_20190630,eda,0,0,0,1152276,0
mgh032,2KPY31117T,20190601_20190630,temp,0,0,0,288078,0
mgh033,2KPY31113Q,20190601_20190630,acc,0,0,0,7178840,0
mgh033,2KPY31113Q,20190601_20190630,eda,0,0,0,875550,0
mgh033,2KPY31113Q,20190601_20190630,temp,0,0,0,218895,0
mgh035,2KPY311187,20190601_20190630,acc,0,0,0,5711245,0
mgh035,2KPY311187,20190601_20190630,eda,0,0,0,714256,0
mgh035,2KPY311187,20190601_20190630,temp,0,0,0,178570,0
mgh016,2KNY31121Q,20190701_20190731,acc,0,0,0,53336710,0
mgh016,2KNY31121Q,20190701_20190731,eda,0,0,0,6497855,0
mgh016,2KNY31121Q,20190701_20190731,temp,0,0,0,1624515,0
mgh023,2KPY31117C,20190701_20190731,acc,0,0,0,4303660,0
mgh023,2KPY31117C,20190701_20190731,eda,0,0,0,527982,0
mgh023,2KPY31117C,20190701_20190731,temp,0,0,0,132000,0
mgh024,2KPY31117W,20190701_20190731,acc,0,0,0,39673536,0
mgh024,2KPY31117W,20190701_20190731,eda,0,0,0,4880144,0
mgh024,2KPY31117W,20190701_20190731,temp,0,0,0,1220072,0
mgh026,2KPY31116L,20190701_20190731,acc,0,0,0,80880407,0
mgh026,2KPY31116L,20190701_20190731,eda,0,0,0,9864095,0
mgh026,2KPY31116L,20190701_20190731,temp,0,0,0,2466089,0
mgh027,2KPY311188,20190701_20190731,acc,0,0,0,80173118,0
mgh027,2KPY311188,20190701_20190731,eda,0,0,0,9864100,0
mgh027,2KPY311188,20190701_20190731,temp,0,0,0,2466113,0
mgh028,2KPY311174,20190701_20190731,acc,0,0,0,53484211,0
mgh028,2KPY311174,20190701_20190731,eda,0,0,0,6534878,0
mgh028,2KPY311174,20190701_20190731,temp,0,0,0,1633754,0
mgh029,2KPY31117Y,20190701_20190731,acc,0,0,16,37185969,16
mgh029,2KPY31117Y,20190701_20190731,eda,0,0,0,4641407,0
mgh029,2KPY31117Y,20190701_20190731,temp,0,0,0,1160379,0
mgh030,2KNY3111L9,20190701_20190731,acc,0,0,0,13512240,0
mgh030,2KNY3111L9,20190701_20190731,eda,0,0,0,1675817,0
mgh030,2KNY3111L9,20190701_20190731,temp,0,0,0,418965,0
mgh032,2KPY31117T,20190701_20190731,acc,0,0,0,64605375,0
mgh032,2KPY31117T,20190701_20190731,eda,0,0,0,8037758,0
mgh032,2KPY31117T,20190701_20190731,temp,0,0,0,2009501,0
mgh033,2KPY31113Q,20190701_20190731,acc,0,0,0,8091700,0
mgh033,2KPY31113Q,20190701_20190731,eda,0,0,0,991016,0
mgh033,2KPY31113Q,20190701_20190731,temp,0,0,0,247755,0
mgh035,2KPY311187,20190701_20190731,acc,0,0,0,59483553,0
mgh035,2KPY311187,20190701_20190731,eda,0,0,0,7459202,0
mgh035,2KPY311187,20190701_20190731,temp,0,0,0,1864854,0
mgh036,2KNY3111N4,20190701_20190731,acc,0,0,0,2592030,0
mgh036,2KNY3111N4,20190701_20190731,eda,0,0,0,326378,0
mgh036,2KNY3111N4,20190701_20190731,temp,0,0,0,81600,0
mgh037,2KPY31116K,20190701_20190731,acc,0,0,0,28422654,0
mgh037,2KPY31116K,20190701_20190731,eda,0,0,0,3517981,0
mgh037,2KPY31116K,20190701_20190731,temp,0,0,0,879520,0
mgh038,2KPY31119R,20190701_20190731,acc,0,0,0,40621350,0
mgh038,2KPY31119R,20190701_20190731,eda,0,0,0,5102370,0
mgh038,2KPY31119R,20190701_20190731,temp,0,0,0,1275625,0
mgh039,2KPY31118G,20190701_20190731,acc,0,0,0,110930,0
mgh039,2KPY31118G,20190701_20190731,eda,0,0,0,13520,0
mgh039,2KPY31118G,20190701_20190731,temp,0,0,0,3375,0
mgh040,2KPY31117M,20190701_20190731,acc,0,0,0,12296700,0
mgh040,2KPY31117M,20190701_20190731,eda,0,0,0,1527643,0
mgh040,2KPY31117M,20190701_20190731,temp,0,0,0,381925,0
mgh041,2KPY31117D,20190701_20190731,acc,0,0,0,2372470,0
mgh041,2KPY31117D,20190701_20190731,eda,0,0,0,296621,0
mgh041,2KPY31117D,20190701_20190731,temp,0,0,0,74160,0
mgh042,2KNY3111LM,20190701_20190731,acc,0,0,0,2618540,0
mgh042,2KNY3111LM,20190701_20190731,eda,0,0,0,330446,0
mgh042,2KNY3111LM,20190701_20190731,temp,0,0,0,82612,0
mgh043,2KPY31117J,20190701_20190731,acc,0,0,0,11450280,0
mgh043,2KPY31117J,20190701_20190731,eda,0,0,0,1425840,0
mgh043,2KPY31117J,20190701_20190731,temp,0,0,0,356470,0
mgh044,2KPY31117G,20190701_20190731,acc,0,0,0,8527286,0
mgh044,2KPY31117G,20190701_20190731,eda,0,0,0,1075680,0
mgh044,2KPY31117G,20190701_20190731,temp,0,0,0,268927,0
fc001,2KNY3111YF,20190801_20190831,acc,0,0,0,16518210,0
fc001,2KNY3111YF,20190801_20190831,eda,0,0,0,2057393,0
fc001,2KNY3111YF,20190801_20190831,temp,0,0,0,514365,0
fc002,2KNY3111YJ,20190801_20190831,acc,0,0,0,27253206,0
fc002,2KNY3111YJ,20190801_20190831,eda,0,0,0,3386887,0
fc002,2KNY3111YJ,20190801_20190831,temp,0,0,0,846776,0
fc003,2KPY31117N,20190801_20190831,acc,0,0,0,18635920,0
fc003,2KPY31117N,20190801_20190831,eda,0,0,0,2295111,0
fc003,2KPY31117N,20190801_20190831,temp,0,0,0,573795,0
mgh016,2KNY31121Q,20190801_20190831,acc,0,0,0,13662974,0
mgh016,2KNY31121Q,20190801_20190831,eda,0,0,0,1667527,0
